AG786;RS3421;RT444;BC7657;VI659;10;Luís Castañeda;20200910;2034;150000 
AG786;RS3422;RT444;BC7657;VI659;11;Pedro Castañeda;20200911;2034;150000
AG786;RS3443;RT444;BC7657;VI659;12;Luís Castañeda;20200910;2034;150000 
AG786;RS3444;RT444;BC7657;VI659;13;Pedro Castañeda;20200911;2034;150000
AG786;RS3445;RT444;BC7657;VI659;14;Luís Castañeda;20200910;2034;150000 
AG786;RS3446;RT444;BC7657;VI659;15;Pedro Castañeda;20200911;2034;150000
AG;RS1435;RT444;BC7657;VI659;20;Rosa-C;20200928;1415;150000.000000
AG;RS1442;RT444;BC7657;VI659;27;Rosa-C;20200928;1415;150000.000000
AG;RS1436;RT444;BC7657;VI000;21;Carlos;20200928;1415;22500.000000
AG;RS1439;RT444;BC7657;VI659;24;Andres;20200928;1415;150000.000000
AG;RS1443;RT444;BC7657;VI659;28;Juan;20200928;1415;150000.000000
AG;RS1433;RT444;BC7657;VI000;18;Alberto;20200928;1415;22500.000000
AG;RS1434;RT444;BC7657;VI659;19;Alberto-C;20200928;1415;150000.000000
AG;RS4020;RT445;BC7662;VI660;19;Dan;20200928;2020;150000.000000
AG786;RS2064;RT445;BC7662;VI660;44;Carlos;20200928;2020;150000.000000
